from,to,type,count
1994KIMNJ,crownforkth,reply,1
1994KIMNJ,hlgiyana,retweet,2
1994KIMNJ,may_Njel,retweet,2
1daffection_,ccookiemonstta,retweet,1
26Oktaa,JisongitsMINE,retweet,1
26Oktaa,currentsy_,retweet,1
26Oktaa,johnTaerii,retweet,1
26Oktaa,lelemyhearteu,retweet,1
26Oktaa,parkjiseongies,retweet,1
26Oktaa,shinyyjamm,retweet,1
5lris,itzvore,reply,1
7BTSaf,illegurl_134340,reply,2
802markeu,MitraAN2,reply,1
94JONIE,95Kimaraa,retweet,2
94JONIE,BTScrystalforia,retweet,1
94JONIE,EUPHORIA_sheren,retweet,1
94JONIE,Eternallnamoon,retweet,1
94JONIE,Montana_choii,retweet,1
94JONIE,Mytimejungs,retweet,1
94JONIE,Olvsyko,retweet,1
94JONIE,aeternalswan,retweet,1
94JONIE,army7_on,retweet,1
94JONIE,besidearmy,retweet,1
94JONIE,bunnytig,retweet,1
94JONIE,daecwita,retweet,1
94JONIE,daeguttae,retweet,1
94JONIE,dwonnerchild,retweet,1
94JONIE,exaggeratepjm,retweet,1
94JONIE,hlgiyana,retweet,1
94JONIE,huirgukie,retweet,1
94JONIE,imnaakth_,retweet,1
94JONIE,jeonjkth_,retweet,1
94JONIE,kthjeon_,retweet,1
94JONIE,laachimolala_,retweet,1
94JONIE,lexixtaes,retweet,1
94JONIE,littlemocy,retweet,1
94JONIE,luvwinters,retweet,1
94JONIE,magicsnxw,retweet,1
94JONIE,maple_peachy,retweet,1
94JONIE,may_Njel,retweet,1
94JONIE,mllkywayy__,retweet,1
94JONIE,moontaeyl,retweet,1
94JONIE,nalawufie,retweet,1
94JONIE,nataliamchllin,retweet,1
94JONIE,redlemoniaa,retweet,1
94JONIE,taebungiee,retweet,1
94JONIE,taehyungmni,retweet,1
94JONIE,taeobs,retweet,1
94JONIE,taesuphoria,retweet,1
94JONIE,vaantae_,retweet,1
94JONIE,vankookies,retweet,1
94JONIE,vantaegukchel,retweet,1
94JONIE,veelligirl,retweet,1
94JONIE,vgukies,retweet,1
94JONIE,youngforev4,retweet,1
94JONIE,yourrmicasa,retweet,1
94PR0D,7souls__,retweet,1
94PR0D,NamuJoonss_,retweet,1
94PR0D,ZhyLu_,retweet,1
94PR0D,anslmin,retweet,1
94PR0D,autumnstearr_,retweet,1
94PR0D,chewjupiter,retweet,1
94PR0D,daegumandue,retweet,1
94PR0D,daegurlie,retweet,1
94PR0D,deraqyi,retweet,1
94PR0D,hobahobari,retweet,1
94PR0D,hoseokiefairy,retweet,1
94PR0D,kookqis_,retweet,1
94PR0D,may_Njel,retweet,1
94PR0D,minyooniesss,retweet,1
94PR0D,nctyvlarsri,retweet,1
94PR0D,sweetiekookies,retweet,1
