"","gutenberg_id","text"
"1",1661,"to sherlock holmes she is always the woman . i have seldom heard"
"2",1661,"him mention her under any other name . in his eyes she eclipses"
"3",1661,"and predominates the whole of her sex . it was not that he felt"
"4",1661,"any emotion akin to love for irene adler . all emotions , and that"
"5",1661,"one particularly , were abhorrent to his cold , precise but"
"6",1661,"admirably balanced mind . he was , i take it , the most perfect"
"7",1661,"reasoning and observing machine that the world has seen , but as a"
"8",1661,"lover he would have placed himself in a false position . he never"
"9",1661,"spoke of the softer passions , save with a gibe and a sneer . they"
"10",1661,"were admirable things for the observer excellent for drawing the"
"11",1661,"veil from mens motives and actions . but for the trained reasoner"
"12",1661,"to admit such intrusions into his own delicate and finely"
"13",1661,"adjusted temperament was to introduce a distracting factor which"
"14",1661,"might throw a doubt upon all his mental results . grit in a"
"15",1661,"sensitive instrument , or a crack in one of his own highpower"
"16",1661,"lenses , would not be more disturbing than a strong emotion in a"
"17",1661,"nature such as his . and yet there was but one woman to him , and"
"18",1661,"that woman was the late irene adler , of dubious and questionable"
"19",1661,"memory ."
"20",1661,"i had seen little of holmes lately . my marriage had drifted us"
"21",1661,"away from each other . my own complete happiness , and the"
"22",1661,"homecentred interests which rise up around the man who first"
"23",1661,"finds himself master of his own establishment , were sufficient to"
"24",1661,"absorb all my attention , while holmes , who loathed every form of"
"25",1661,"society with his whole bohemian soul , remained in our lodgings in"
"26",1661,"baker street , buried among his old books , and alternating from"
"27",1661,"week to week between cocaine and ambition , the drowsiness of the"
"28",1661,"drug , and the fierce energy of his own keen nature . he was still ,"
"29",1661,"as ever , deeply attracted by the study of crime , and occupied his"
"30",1661,"immense faculties and extraordinary powers of observation in"
"31",1661,"following out those clues , and clearing up those mysteries which"
"32",1661,"had been abandoned as hopeless by the official police . from time"
"33",1661,"to time i heard some vague account of his doings of his summons"
"34",1661,"to odessa in the case of the trepoff murder , of his clearing up"
"35",1661,"of the singular tragedy of the atkinson brothers at trincomalee ,"
"36",1661,"and finally of the mission which he had accomplished so"
"37",1661,"delicately and successfully for the reigning family of holland ."
"38",1661,"beyond these signs of his activity , however , which i merely"
"39",1661,"shared with all the readers of the daily press , i knew little of"
"40",1661,"my former friend and companion ."
"41",1661,"one night it was on the twentieth of march , i was"
"42",1661,"returning from a journey to a patient for i had now returned to"
"43",1661,"civil practice , when my way led me through baker street . as i"
"44",1661,"passed the wellremembered door , which must always be associated"
"45",1661,"in my mind with my wooing , and with the dark incidents of the"
