text,id,userid,username,created_at,likes,retweets,isquote,is_retweet,mentions,hashtags,reply_to,geo,place,text_clean
"@subtanyarl Ayo peduli, salah satunya dengan cara rt/reply pakai hastag ini 

#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266645789591265282,884609517501034496,taelobely,2020-05-30 08:21:04,0,0,False,False,['subtanyarl'],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",1.266404027522093e+18,,,subtanyarl ayo peduli satunya rtreply pakai hastag blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Trending in ht yuk hyung

#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE
#BlacklivesMatters #RAISETHEDEGREE",1266645684096139265,1186129404537126913,ynjunim,2020-05-30 08:20:38,0,0,False,False,[],"['BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE']",,,,trending in ht yuk hyung blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree
Indomy dripada lu urusin masalh fake army mending bantuin ramein hastag #BlackLiveMatter #BlackLivesMatters,1266645421394325505,1160598639292477441,DivaNaftali,2020-05-30 08:19:36,0,0,False,False,[],"['BlackLiveMatter', 'BlackLivesMatters']",,,,indomy dripada urusin masalh fake army mending bantuin ramein hastag blacklivematter blacklivesmatters
"At least yang kpop ni tahu apa maksud RESPECT. Tak payah cakap kau dah besar kalau RESPECT pun tak pandai
#RAISETHEDEGREE 
#BlackLivesMatters",1266645348325314563,1173137547725197316,ttaebokkimochi,2020-05-30 08:19:18,6,2,False,False,[],"['RAISETHEDEGREE', 'BlackLivesMatters']",,,,at least kpop ni maksud respect payah cakap respect pandai raisethedegree blacklivesmatters
"#BlackLivesMatters #BlackLivesMatter #BlackLiveMatter #BlackLivesMatter #BlackLiveMatter #BlackLivesMatter #BlackLiveMatter #BlackLivesMatter #RAISETHEDEGREE #TheMatters #RAISETHEDEGREE #RAISETHEDEGREE #RAISETHEDEGREE #RAISETHEDEGREE 
ayo di rt",1266645237075554305,1255580800554201088,teutic1,2020-05-30 08:18:52,1,0,False,False,[],"['BlackLivesMatters', 'BlackLivesMatter', 'BlackLiveMatter', 'BlackLivesMatter', 'BlackLiveMatter', 'BlackLivesMatter', 'BlackLiveMatter', 'BlackLivesMatter', 'RAISETHEDEGREE', 'TheMatters', 'RAISETHEDEGREE', 'RAISETHEDEGREE', 'RAISETHEDEGREE', 'RAISETHEDEGREE']",,,,blacklivesmatters blacklivesmatter blacklivematter blacklivesmatter blacklivematter blacklivesmatter blacklivematter blacklivesmatter raisethedegree thematters raisethedegree raisethedegree raisethedegree raisethedegree ayo rt
"Cikin mutane akwai masu kama da ATISHAWA duk sanda ka rabu dasu sai ka godewa Allah. 
#BlackLivesMatters 
#JusticeForGeorgeFlyod 
#schoolreopening",1266644695280750593,966144509183750144,Sheedah04,2020-05-30 08:16:43,0,0,False,False,[],"['BlackLivesMatters', 'JusticeForGeorgeFlyod', 'schoolreopening']",,,,cikin mutane akwai masu kama da atishawa duk sanda ka dasu sai ka godewa allah blacklivesmatters justiceforgeorgeflyod schoolreopening
"@Jimochi0613 Call for all ARMY ATTENTION for:
#BlacklivesMaters #RAISETHEDEGREE 
#BlacklivesMaters #RAISETHEDEGREE 
#BlacklivesMaters #RAISETHEDEGREE 
#BlacklivesMaters #RAISETHEDEGREE 
#BlacklivesMaters #RAISETHEDEGREE
 🙏🙏🙏💜💜💜💜💜💜💜 Jangan berdebat dengan orang bodoh🙏",1266644679820365825,1183018659490357248,ri_vante,2020-05-30 08:16:39,0,0,False,False,['Jimochi0613'],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",1.2666250804878418e+18,,,jimochi0613 call for all army attention for blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree berdebat bodoh
Bakhohlakele abelungu #BlackLivesMatters,1266644676595060738,1077944857916854272,gherl_star,2020-05-30 08:16:38,0,0,False,False,[],['BlackLivesMatters'],,,,bakhohlakele abelungu blacklivesmatters
"ha kau kau yang tengah tengok ni , reply tweet aku skunk using this hashtag - #BlackLivesMatters",1266644545669758976,1255755107993444353,peachyrosies,2020-05-30 08:16:07,2,1,False,False,[],['BlackLivesMatters'],,,,ha tengok ni reply tweet skunk using this hashtag blacklivesmatters
"Tau dulu kondisi nya, tau dulu asal-usul nya. Tau dulu penyebab dan tekanan nya. Hal yang bentuk stigma nya negatif itu gak bisa dibilang selalu negatif gitu aja.

Anak di bully teros nonjok yg bully dia.

Ini jenis berontak yg gak bisa di bilang salah.
#BlackLivesMatters",1266644505190514688,1320459644,ramandaaridoGH,2020-05-30 08:15:57,0,0,False,False,[],['BlackLivesMatters'],,,,tau nya tau usul nya tau penyebab tekanan nya stigma nya negatif gak dibilang negatif aja anak bully teros nonjok bully berontak gak bilang blacklivesmatters
"@anpamanz @jjkiaa guys, bantu tenggelemin yg lain

#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266644334419443713,1105073459430739974,marklee_subag,2020-05-30 08:15:17,0,0,False,False,"['anpamanz', 'jjkiaa']","['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",1.2666153782323077e+18,,,anpamanz jjkiaa guys bantu tenggelemin blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"@JMIBNIDA Ikr haih

#BlackLivesMatters
#BlackLivesMatters
#BlackLivesMatters",1266644045821915138,918842985067900928,ssparklejin,2020-05-30 08:14:08,0,0,False,False,['JMIBNIDA'],"['BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters']",1.2666430468478362e+18,,,jmibnida ikr haih blacklivesmatters blacklivesmatters blacklivesmatters
